date,product_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-02-16,P003,301,0,75,226,0
2024-02-16,P004,0,0,0,0,1
2024-02-16,P005,1651,0,105,1546,0
2024-02-17,P001,786,0,96,690,0
2024-02-17,P002,0,0,0,0,1
2024-02-17,P003,226,0,75,151,0
2024-02-17,P004,0,0,0,0,1
2024-02-17,P005,1546,0,105,1441,0
2024-02-18,P001,690,0,88,602,0
2024-02-18,P002,0,0,0,0,1
2024-02-18,P003,151,0,77,74,0
2024-02-18,P004,0,0,0,0,1
2024-02-18,P005,1441,0,103,1338,0
2024-02-19,P001,602,0,95,507,0
2024-02-19,P002,0,0,0,0,1
2024-02-19,P003,74,0,58,16,0
2024-02-19,P004,0,0,0,0,1
2024-02-19,P005,1338,0,117,1221,0
2024-02-20,P001,507,0,71,436,0
2024-02-20,P002,0,0,0,0,1
2024-02-20,P003,657,641,52,605,0
2024-02-20,P004,0,0,0,0,1
2024-02-20,P005,1221,0,112,1109,0
2024-02-21,P001,436,0,84,352,0
2024-02-21,P002,0,0,0,0,1
2024-02-21,P003,605,0,73,532,0
2024-02-21,P004,0,0,0,0,1
2024-02-21,P005,1109,0,124,985,0
2024-02-22,P001,352,0,86,266,0
2024-02-22,P002,0,0,0,0,1
2024-02-22,P003,532,0,66,466,0
2024-02-22,P004,0,0,0,0,1
2024-02-22,P005,985,0,114,871,0
2024-02-23,P001,266,0,67,199,0
2024-02-23,P002,489,489,46,443,0
2024-02-23,P003,466,0,76,390,0
2024-02-23,P004,0,0,0,0,1
2024-02-23,P005,871,0,107,764,0
2024-02-24,P001,199,0,85,114,0
2024-02-24,P002,443,0,57,386,0
2024-02-24,P003,390,0,65,325,0
2024-02-24,P004,0,0,0,0,1
2024-02-24,P005,764,0,112,652,0
2024-02-25,P001,114,0,75,39,0
2024-02-25,P002,386,0,57,329,0
2024-02-25,P003,325,0,83,242,0
2024-02-25,P004,0,0,0,0,1
2024-02-25,P005,652,0,116,536,0
2024-02-26,P001,39,0,39,0,1
2024-02-26,P002,329,0,61,268,0
2024-02-26,P003,242,0,125,117,0
2024-02-26,P004,0,0,0,0,1
2024-02-26,P005,536,0,85,451,0
2024-02-27,P001,0,0,0,0,1
2024-02-27,P002,268,0,50,218,0
2024-02-27,P003,117,0,105,12,0
2024-02-27,P004,0,0,0,0,1
2024-02-27,P005,2032,1581,100,1932,0
2024-02-28,P001,1034,1034,86,948,0
2024-02-28,P002,218,0,50,168,0
2024-02-28,P003,12,0,12,0,1
2024-02-28,P004,181,181,9,172,0
2024-02-28,P005,1932,0,97,1835,0
2024-02-29,P001,948,0,71,877,0
2024-02-29,P002,168,0,48,120,0
2024-02-29,P003,0,0,0,0,1
2024-02-29,P004,172,0,10,162,0
2024-02-29,P005,1835,0,144,1691,0
2024-03-01,P001,877,0,90,787,0
2024-03-01,P002,120,0,73,47,0
2024-03-01,P003,0,0,0,0,1
2024-03-01,P004,162,0,13,149,0
2024-03-01,P005,1691,0,102,1589,0
2024-03-02,P001,787,0,86,701,0
2024-03-02,P002,47,0,47,0,1
2024-03-02,P003,0,0,0,0,1
2024-03-02,P004,149,0,13,136,0
2024-03-02,P005,1589,0,100,1489,0
2024-03-03,P001,701,0,84,617,0
2024-03-03,P002,0,0,0,0,1
2024-03-03,P003,661,661,97,564,0
2024-03-03,P004,136,0,14,122,0
2024-03-03,P005,1489,0,119,1370,0
2024-03-04,P001,617,0,79,538,0
2024-03-04,P002,0,0,0,0,1
2024-03-04,P003,564,0,117,447,0
2024-03-04,P004,122,0,12,110,0
2024-03-04,P005,1370,0,89,1281,0
2024-03-05,P001,538,0,77,461,0
2024-03-05,P002,0,0,0,0,1
2024-03-05,P003,447,0,104,343,0
2024-03-05,P004,110,0,12,98,0
2024-03-05,P005,1281,0,112,1169,0
2024-03-06,P001,461,0,71,390,0
2024-03-06,P002,0,0,0,0,1
2024-03-06,P003,343,0,112,231,0
2024-03-06,P004,98,0,12,86,0
2024-03-06,P005,1169,0,124,1045,0
2024-03-07,P001,390,0,93,297,0
2024-03-07,P002,0,0,0,0,1
2024-03-07,P003,231,0,104,127,0
2024-03-07,P004,86,0,9,77,0
2024-03-07,P005,1045,0,115,930,0
2024-03-08,P001,297,0,87,210,0
2024-03-08,P002,0,0,0,0,1
2024-03-08,P003,127,0,88,39,0
2024-03-08,P004,77,0,10,67,0
2024-03-08,P005,930,0,123,807,0
2024-03-09,P001,210,0,84,126,0
2024-03-09,P002,0,0,0,0,1
2024-03-09,P003,39,0,39,0,1
2024-03-09,P004,67,0,12,55,0
2024-03-09,P005,807,0,122,685,0
2024-03-10,P001,126,0,79,47,0
2024-03-10,P002,0,0,0,0,1
2024-03-10,P003,0,0,0,0,1
2024-03-10,P004,55,0,11,44,0
2024-03-10,P005,685,0,105,580,0
2024-03-11,P001,47,0,47,0,1
2024-03-11,P002,0,0,0,0,1
2024-03-11,P003,0,0,0,0,1
2024-03-11,P004,44,0,10,34,0
2024-03-11,P005,580,0,129,451,0
2024-03-12,P001,1036,1036,80,956,0
2024-03-12,P002,0,0,0,0,1
2024-03-12,P003,0,0,0,0,1
2024-03-12,P004,34,0,13,21,0
2024-03-12,P005,451,0,108,343,0
2024-03-13,P001,956,0,87,869,0
2024-03-13,P002,0,0,0,0,1
2024-03-13,P003,677,677,106,571,0
2024-03-13,P004,21,0,13,8,0
2024-03-13,P005,343,0,123,220,0
2024-03-14,P001,869,0,99,770,0
2024-03-14,P002,0,0,0,0,1
2024-03-14,P003,571,0,100,471,0
2024-03-14,P004,8,0,8,0,1
2024-03-14,P005,220,0,155,65,0
2024-03-15,P001,770,0,101,669,0
2024-03-15,P002,462,462,67,395,0
2024-03-15,P003,471,0,99,372,0
2024-03-15,P004,0,0,0,0,1
2024-03-15,P005,1709,1644,110,1599,0
2024-03-16,P001,669,0,75,594,0
2024-03-16,P002,395,0,48,347,0
2024-03-16,P003,372,0,63,309,0
2024-03-16,P004,0,0,0,0,1
2024-03-16,P005,1599,0,135,1464,0
2024-03-17,P001,594,0,100,494,0
2024-03-17,P002,347,0,48,299,0
2024-03-17,P003,309,0,78,231,0
2024-03-17,P004,0,0,0,0,1
2024-03-17,P005,1464,0,131,1333,0
2024-03-18,P001,494,0,91,403,0
2024-03-18,P002,299,0,47,252,0
2024-03-18,P003,231,0,73,158,0
2024-03-18,P004,0,0,0,0,1
2024-03-18,P005,1333,0,139,1194,0
2024-03-19,P001,403,0,87,316,0
2024-03-19,P002,252,0,71,181,0
2024-03-19,P003,158,0,64,94,0
2024-03-19,P004,0,0,0,0,1
2024-03-19,P005,1194,0,122,1072,0
2024-03-20,P001,316,0,79,237,0
2024-03-20,P002,181,0,50,131,0
2024-03-20,P003,94,0,79,15,0
2024-03-20,P004,0,0,0,0,1
2024-03-20,P005,1072,0,122,950,0
2024-03-21,P001,237,0,76,161,0
2024-03-21,P002,131,0,58,73,0
2024-03-21,P003,15,0,15,0,1
2024-03-21,P004,0,0,0,0,1
2024-03-21,P005,950,0,135,815,0
2024-03-22,P001,161,0,69,92,0
2024-03-22,P002,73,0,65,8,0
2024-03-22,P003,0,0,0,0,1
2024-03-22,P004,0,0,0,0,1
2024-03-22,P005,815,0,125,690,0
2024-03-23,P001,1150,1058,87,1063,0
2024-03-23,P002,8,0,8,0,1
2024-03-23,P003,0,0,0,0,1
2024-03-23,P004,0,0,0,0,1
2024-03-23,P005,690,0,129,561,0
2024-03-24,P001,1063,0,76,987,0
2024-03-24,P002,0,0,0,0,1
2024-03-24,P003,0,0,0,0,1
2024-03-24,P004,0,0,0,0,1
2024-03-24,P005,561,0,160,401,0
2024-03-25,P001,987,0,79,908,0
2024-03-25,P002,0,0,0,0,1
2024-03-25,P003,660,660,69,591,0
2024-03-25,P004,0,0,0,0,1
2024-03-25,P005,401,0,172,229,0
2024-03-26,P001,908,0,79,829,0
2024-03-26,P002,0,0,0,0,1
2024-03-26,P003,591,0,78,513,0
2024-03-26,P004,0,0,0,0,1
2024-03-26,P005,1854,1625,161,1693,0
2024-03-27,P001,829,0,90,739,0
2024-03-27,P002,0,0,0,0,1
2024-03-27,P003,513,0,74,439,0
2024-03-27,P004,0,0,0,0,1
2024-03-27,P005,1693,0,144,1549,0
2024-03-28,P001,739,0,90,649,0
2024-03-28,P002,0,0,0,0,1
2024-03-28,P003,439,0,79,360,0
2024-03-28,P004,0,0,0,0,1
2024-03-28,P005,1549,0,142,1407,0
2024-03-29,P001,649,0,83,566,0
2024-03-29,P002,0,0,0,0,1
2024-03-29,P003,360,0,80,280,0
2024-03-29,P004,0,0,0,0,1
2024-03-29,P005,1407,0,137,1270,0
2024-03-30,P001,566,0,80,486,0
2024-03-30,P002,0,0,0,0,1
2024-03-30,P003,280,0,80,200,0
2024-03-30,P004,118,118,12,106,0
2024-03-30,P005,1270,0,132,1138,0
